active,name,length_ft,sa_lat,sa_lng,sb_lat,sb_lng,has2,s2a_lat,s2a_lng,s2b_lat,s2b_lng,has3,s3a_lat,s3a_lng,s3b_lat,s3b_lng,locked
1,Croix-en-Ternois,5868.1,50.3789502,2.2963331,50.3790493,2.2962665,1,50.3791311,2.2982143,50.3790356,2.2982926,1,50.3778342,2.2965775,50.3777539,2.2964647,1
1,Carole,6698.8,48.9787465,2.5228866,48.9787541,2.5227100,1,48.9796083,2.5214165,48.9795791,2.5215943,1,48.9798820,2.5200980,48.9798562,2.5199926,1
0,Pau-Arnos,9747.0,43.4470894,-0.5326126,43.4471380,-0.5324800,1,43.4457163,-0.5338977,43.4456372,-0.5339986,1,43.4464610,-0.5325110,43.4464108,-0.5326424,0
0,Ledenon,10241.7,43.9232182,4.5040888,43.9231970,4.5042355,1,43.9223838,4.5062905,43.9224288,4.5064265,1,43.9248721,4.5081974,43.9248387,4.5080551,0
0,Ales,8031.4,44.1550805,4.0715175,44.1550719,4.0713678,1,44.1583572,4.0738910,44.1583988,4.0740296,1,44.1550463,4.0737947,44.1550150,4.0739385,0
1,Clastres,7770.0,49.7506247,3.2110847,49.7506568,3.2112440,1,49.7514874,3.2081266,49.7514101,3.2080103,1,49.7521115,3.2045187,49.7521830,3.2043939,1
0,Los Arcos,12757.8,42.5591516,-2.1679944,42.5591107,-2.1681299,1,42.5605311,-2.1654386,42.5605685,-2.1655758,1,42.5603685,-2.1639580,42.5602760,-2.1638828,0
0,Le Mans Bugatti,14050.3,47.9498714,0.2075227,47.9498732,0.2072545,1,47.9575404,0.2118249,47.9576314,0.2117387,1,47.9561026,0.2148935,47.9562427,0.2147255,0
0,MLRTalou,0.0,49.8780504,1.2135030,49.8780550,1.2134958,0,49.8780514,1.2135014,49.8780563,1.2134972,0,49.8780525,1.2135012,49.8780569,1.2134974,0
1,PigTeam_track,2811.0,49.9197931,1.1158046,49.9197971,1.1159440,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0
